Name,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Versailles no Bara,TV,40,Finished Airing,"Oct 10, 1979 to Sep 3, 1980",Nippon Television Network,"Nozomi Entertainment, Discotek Media",Tokyo Movie Shinsha,Manga,"Drama, Romance","Historical, Military",24 min. per ep.,PG-13 - Teens 13 or older,"8.34 scored by 25,559 users",#200,#1952,"82,025","2,513"
Uchuu Senkan Yamato 2199,OVA,26,Finished Airing,"May 25, 2012 to Oct 25, 2013","Production I.G, Bandai Namco Games, Shochiku, Lantis, Bandai Visual, Tohokushinsha Film Corporation, OLM, Voyager Entertainment, Bandai",Funimation,"AIC, Xebec",Original,"Drama, Sci-Fi, Action","Adult Cast, Space, Military",25 min. per ep.,PG-13 - Teens 13 or older,"8.34 scored by 35,097 users",#199,#1662,"103,556","1,592"
One Outs,TV,25,Finished Airing,"Oct 8, 2008 to Apr 1, 2009","D.N. Dream Partners, Nippon Television Network, VAP","None found, add some",Madhouse,Manga,,"Adult Cast, Psychological, Team Sports",23 min. per ep.,PG-13 - Teens 13 or older,"8.34 scored by 104,016 users",#198,#905,"210,785","3,641"
Neon Genesis Evangelion,TV,26,Finished Airing,"Oct 4, 1995 to Mar 27, 1996","Nihon Ad Systems, Kadokawa Shoten, TV Tokyo, Audio Tanaka","Netflix, ADV Films, GKIDS","Gainax, Tatsunoko Production",Original,"Drama, Avant Garde, Sci-Fi, Action","Psychological, Mecha",24 min. per ep.,PG-13 - Teens 13 or older,"8.34 scored by 900,643 users",#197,#50,"1,512,095","88,236"
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,Finished Airing,"Feb 1, 2014","Nihon Ad Systems, Aniplex","None found, add some",Brain's Base,Manga,"Drama, Slice of Life, Supernatural","Iyashikei, Mythology",23 min.,PG-13 - Teens 13 or older,"8.34 scored by 32,193 users",#196,#2108,"71,790",99
Psycho-Pass,TV,22,Finished Airing,"Oct 12, 2012 to Mar 22, 2013","Dentsu, Nitroplus, Fuji TV, TOHO animation, Sony Music Entertainment, Kyoraku Industrial Holdings",Funimation,Production I.G,Original,"Sci-Fi, Action, Suspense","Adult Cast, Psychological, Detective",23 min. per ep.,R - 17+ (violence & profanity),"8.35 scored by 702,861 users",#195,#55,"1,438,678","35,277"
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie,1,Finished Airing,"Jan 18, 2019",IRMA LA DOUCE,Sentai Filmworks,Kinema Citrus,Web manga,"Drama, Sci-Fi, Adventure, Fantasy, Mystery",,1 hr. 45 min.,R - 17+ (violence & profanity),"8.35 scored by 29,304 users",#194,#1831,"90,008",126
Kiseijuu: Sei no Kakuritsu,TV,24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015","Forecast Communications, Nippon Television Network, Kodansha, VAP",Sentai Filmworks,Madhouse,Manga,"Drama, Horror, Sci-Fi, Action",Psychological,23 min. per ep.,R - 17+ (violence & profanity),"8.35 scored by 994,970 users",#193,#41,"1,595,964","30,393"
Haikyuu!! To the Top,TV,13,Finished Airing,"Jan 11, 2020 to Apr 4, 2020","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Sony Music Entertainment, Shueisha",Sentai Filmworks,Production I.G,Manga,"Drama, Sports, Comedy","School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,"8.35 scored by 455,414 users",#192,#186,"744,668","4,560"
Gotcha!,Music,1,Finished Airing,"Sep 29, 2020","None found, add some","None found, add some",Bones,Game,,Music,3 min.,PG - Children,"8.35 scored by 16,533 users",#191,#3813,"24,177",207
Given,TV,11,Finished Airing,"Jul 12, 2019 to Sep 20, 2019","Dentsu, Fuji TV, Movic, Shinshokan, Aniplex","None found, add some",Lerche,Manga,"Drama, Slice of Life, Romance, Boys Love",Music,22 min. per ep.,PG-13 - Teens 13 or older,"8.35 scored by 246,360 users",#190,#389,"449,227","14,438"
Gintama: Shiroyasha Koutan,Special,1,Finished Airing,"Sep 21, 2008","None found, add some","None found, add some",Sunrise,Manga,"Sci-Fi, Action, Comedy","Parody, Historical",10 min.,PG-13 - Teens 13 or older,"8.35 scored by 30,676 users",#189,#2307,"61,989",82
Mahou Shoujo Madoka★Magica,TV,12,Finished Airing,"Jan 7, 2011 to Apr 22, 2011","Houbunsha, Nitroplus, Mainichi Broadcasting System, Movic, Aniplex",Aniplex of America,Shaft,Original,"Drama, Suspense","Psychological, Mahou Shoujo",24 min. per ep.,PG-13 - Teens 13 or older,"8.36 scored by 667,220 users",#188,#89,"1,131,224","48,009"
Kingdom 2nd Season,TV,39,Finished Airing,"Jun 8, 2013 to Mar 2, 2014",NHK,Funimation,Studio Pierrot,Manga,,"Historical, Military",25 min. per ep.,R - 17+ (violence & profanity),"8.36 scored by 46,972 users",#187,#1731,"97,880",736
Hellsing Ultimate,OVA,10,Finished Airing,"Feb 10, 2006 to Dec 26, 2012","Shounen Gahousha, StudioRF Inc., Geneon Universal Entertainment","Funimation, Geneon Entertainment USA","Satelight, Madhouse, Graphinica",Manga,"Horror, Supernatural, Action","Gore, Adult Cast, Vampire, Military",49 min. per ep.,R - 17+ (violence & profanity),"8.36 scored by 420,980 users",#186,#163,"802,736","18,926"
Bakuman. 2nd Season,TV,25,Finished Airing,"Oct 1, 2011 to Mar 24, 2012","Shueisha, NHK",Media Blasters,J.C.Staff,Manga,"Drama, Romance, Comedy",Otaku Culture,24 min. per ep.,PG-13 - Teens 13 or older,"8.36 scored by 195,875 users",#185,#569,"323,920","1,319"
Hajime no Ippo: Rising,TV,25,Finished Airing,"Oct 6, 2013 to Mar 29, 2014","Nippon Television Network, Kodansha, VAP","None found, add some","Madhouse, MAPPA",Manga,"Drama, Sports, Comedy",Combat Sports,22 min. per ep.,PG-13 - Teens 13 or older,"8.58 scored by 117,874 users",#75,#906,"210,565","1,029"
Gin no Saji 2nd Season,TV,11,Finished Airing,"Jan 10, 2014 to Mar 28, 2014","Kyoraku Industrial Holdings, Dentsu, Fuji TV, Aniplex",Aniplex of America,A-1 Pictures,Manga,"Slice of Life, Comedy",School,24 min. per ep.,PG-13 - Teens 13 or older,"8.28 scored by 82,713 users",#250,#1363,"133,287",612
Bakemono no Ko,Movie,1,Finished Airing,"Jul 11, 2015","Dentsu, Toho, Yomiuri Telecasting, Arquebuse, Kadokawa Shoten, Nippon Television Network",Funimation,Studio Chizu,Original,"Adventure, Supernatural","Isekai, Anthropomorphic",1 hr. 59 min.,PG-13 - Teens 13 or older,"8.28 scored by 200,013 users",#249,#486,"370,980","2,871"
Tokyo Godfathers,Movie,1,Finished Airing,"Nov 8, 2003","Dentsu, Tohokushinsha Film Corporation, Genco","GKIDS, Sony Pictures Entertainment",Madhouse,Original,"Drama, Comedy",Childcare,1 hr. 32 min.,PG-13 - Teens 13 or older,"8.28 scored by 122,361 users",#248,#788,"245,101","2,060"
Stranger: Mukou Hadan,Movie,1,Finished Airing,"Sep 29, 2007","Bandai Visual, Hakuhodo DY Media Partners, Sony Music Entertainment, Shochiku","Bandai Entertainment, Funimation",Bones,Original,"Adventure, Action","Samurai, Historical",1 hr. 43 min.,R - 17+ (violence & profanity),"8.28 scored by 149,862 users",#247,#632,"298,507","2,763"
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,Finished Airing,"Oct 4, 2018 to Dec 27, 2018","Kadokawa, Hakuhodo DY Music & Pictures, Tokyo MX, Nagoya Broadcasting Network, ABC Animation, BS11, Aniplex",Aniplex of America,CloverWorks,Light novel,"Drama, Romance, Supernatural, Comedy",School,24 min. per ep.,PG-13 - Teens 13 or older,"8.28 scored by 903,494 users",#246,#58,"1,415,383","40,578"
Tsubasa: Tokyo Revelations,OVA,3,Finished Airing,"Nov 16, 2007 to Mar 17, 2008",Kodansha,Funimation,Production I.G,Manga,"Drama, Adventure, Romance, Action, Fantasy",,30 min. per ep.,R - 17+ (violence & profanity),"8.29 scored by 43,055 users",#245,#1845,"88,646",811
Redline,Movie,1,Finished Airing,"Aug 14, 2009",Tohokushinsha Film Corporation,Anchor Bay Films,Madhouse,Original,"Sci-Fi, Action","Adult Cast, Racing",1 hr. 42 min.,R+ - Mild Nudity,"8.29 scored by 174,785 users",#244,#579,"318,780","4,639"
Nodame Cantabile,TV,23,Finished Airing,"Jan 12, 2007 to Jun 15, 2007","Dentsu, Fujipacific Music, Magic Capsule, Kodansha, Fuji TV, Sony Music Entertainment, Genco","None found, add some",J.C.Staff,Manga,"Drama, Slice of Life, Romance, Comedy","Adult Cast, Music",22 min. per ep.,PG-13 - Teens 13 or older,"8.29 scored by 121,746 users",#243,#651,"289,564","4,796"
Gintama: Shinyaku Benizakura-hen,Special,1,Finished Airing,"Dec 15, 2010","None found, add some","None found, add some",Sunrise,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",11 min.,PG-13 - Teens 13 or older,"8.29 scored by 16,786 users",#242,#3028,"38,036",47
Ashita no Joe,TV,79,Finished Airing,"Apr 1, 1970 to Sep 29, 1971",Fuji TV,"None found, add some",Mushi Production,Manga,"Drama, Slice of Life, Sports, Action",Combat Sports,25 min. per ep.,PG-13 - Teens 13 or older,"8.29 scored by 19,071 users",#241,#2061,"73,912","1,611"
Kino no Tabi: The Beautiful World,TV,13,Finished Airing,"Apr 8, 2003 to Jul 8, 2003","WOWOW, Pony Canyon, chara-ani.com, Studio Wombat, ASCII Media Works, Genco","Sentai Filmworks, ADV Films",A.C.G.T.,Light novel,"Adventure, Slice of Life, Action","Iyashikei, Psychological",24 min. per ep.,R - 17+ (violence & profanity),"8.30 scored by 85,653 users",#240,#716,"268,338","6,078"
Initial D First Stage,TV,26,Finished Airing,"Apr 19, 1998 to Dec 6, 1998","Fuji TV, OB Planning","Funimation, Tokyopop","Studio Comet, Gallop",Manga,"Drama, Action",Racing,25 min. per ep.,PG-13 - Teens 13 or older,"8.30 scored by 152,385 users",#239,#631,"298,889","9,093"
Hibike! Euphonium 2,TV,13,Finished Airing,"Oct 6, 2016 to Dec 29, 2016","Pony Canyon, Lantis, Rakuonsha",Ponycan USA,Kyoto Animation,Novel,,"Performing Arts, School, Music",23 min. per ep.,PG-13 - Teens 13 or older,"8.30 scored by 101,963 users",#238,#969,"197,298","3,012"
Fate/Zero,TV,13,Finished Airing,"Oct 2, 2011 to Dec 25, 2011","Seikaisha, Nitroplus, Notes, Aniplex",Aniplex of America,ufotable,Light novel,"Supernatural, Action, Fantasy",,28 min. per ep.,R - 17+ (violence & profanity),"8.30 scored by 765,348 users",#237,#69,"1,329,968","31,727"
Dr. Stone,TV,24,Finished Airing,"Jul 5, 2019 to Dec 13, 2019","Shueisha, TOHO animation","Crunchyroll, Funimation",TMS Entertainment,Manga,"Adventure, Sci-Fi, Comedy","Survival, Time Travel",24 min. per ep.,PG-13 - Teens 13 or older,"8.30 scored by 846,042 users",#236,#60,"1,396,766","23,147"
Diamond no Ace: Second Season,TV,51,Finished Airing,"Apr 6, 2015 to Mar 28, 2016","Sotsu, TV Tokyo","None found, add some","Madhouse, Production I.G",Manga,"Sports, Comedy","School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,"8.30 scored by 66,749 users",#235,#1466,"120,169",972
Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,Finished Airing,"Apr 20, 2002","None found, add some",Funimation,TMS Entertainment,Manga,"Adventure, Mystery",Detective,1 hr. 47 min.,PG-13 - Teens 13 or older,"8.30 scored by 41,545 users",#234,#2175,"68,507",207
Kizumonogatari II: Nekketsu-hen,Movie,1,Finished Airing,"Aug 19, 2016","Kodansha, Aniplex",Aniplex of America,Shaft,Light novel,"Mystery, Supernatural, Action",Vampire,1 hr. 4 min.,R - 17+ (violence & profanity),"8.59 scored by 231,308 users",#74,#465,"383,809","2,118"
Detective Conan Movie 13: The Raven Chaser,Movie,1,Finished Airing,"Apr 18, 2009","TMS Entertainment, Shogakukan-Shueisha Productions","None found, add some",Tokyo Movie Shinsha,Manga,"Mystery, Action",Detective,1 hr. 51 min.,PG-13 - Teens 13 or older,"8.22 scored by 30,008 users",#300,#2526,"52,670",62
86,TV,11,Finished Airing,"Apr 11, 2021 to Jun 20, 2021","Kadokawa, Bandai Spirits, Aniplex","None found, add some",A-1 Pictures,Light novel,"Drama, Sci-Fi, Action","Mecha, Military",23 min. per ep.,R - 17+ (violence & profanity),"8.22 scored by 235,448 users",#299,#356,"490,867","10,021"
