Name,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Kamisama Hajimemashita OVA,OVA,2,Finished Airing,"Aug 20, 2013","None found, add some","None found, add some",TMS Entertainment,Manga,"Romance, Supernatural, Fantasy, Comedy",Mythology,14 min. per ep.,PG-13 - Teens 13 or older,"8.02 scored by 58,095 users",#541,#1559,"111,490",338
Kaichou wa Maid-sama!,TV,26,Finished Airing,"Apr 2, 2010 to Sep 24, 2010","Hakusensha, TBS, Half H.P Studio, Geneon Universal Entertainment",Sentai Filmworks,J.C.Staff,Manga,"Romance, Comedy",School,24 min. per ep.,PG-13 - Teens 13 or older,"8.02 scored by 651,350 users",#540,#96,"1,100,128","20,682"
Hachimitsu to Clover,TV,24,Finished Airing,"Apr 15, 2005 to Sep 27, 2005","Shueisha, Fuji TV, Genco","VIZ Media, Discotek Media",J.C.Staff,Manga,"Drama, Slice of Life, Romance, Comedy","Visual Arts, Love Polygon",23 min. per ep.,PG-13 - Teens 13 or older,"8.02 scored by 78,082 users",#539,#794,"242,954","4,030"
Golden Boy,OVA,6,Finished Airing,"Oct 27, 1995 to Jun 28, 1996","Shueisha, KSS","ADV Films, Media Blasters, Discotek Media",APPP,Manga,"Adventure, Ecchi, Comedy","Adult Cast, Gag Humor",28 min. per ep.,R+ - Mild Nudity,"8.02 scored by 173,572 users",#538,#597,"310,236","4,471"
Evangelion: 1.0 You Are (Not) Alone,Movie,1,Finished Airing,"Sep 1, 2007","Gainax, KlockWorx, Starchild Records",Funimation,Khara,Original,"Drama, Sci-Fi, Action","Psychological, Mecha",1 hr. 41 min.,PG-13 - Teens 13 or older,"8.02 scored by 292,038 users",#537,#365,"475,619","1,600"
ef: A Tale of Melodies.,TV,12,Finished Airing,"Oct 7, 2008 to Dec 23, 2008","None found, add some",Sentai Filmworks,Shaft,Visual novel,"Drama, Mystery, Romance, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older,"8.02 scored by 64,550 users",#536,#1210,"155,862","1,650"
Detective Conan Movie 15: Quarter of Silence,Movie,1,Finished Airing,"Apr 16, 2011","Tokyo Movie Shinsha, Shogakukan-Shueisha Productions, Toho","None found, add some",TMS Entertainment,Manga,"Adventure, Mystery, Comedy",Detective,1 hr. 49 min.,G - All Ages,"8.02 scored by 24,528 users",#535,#2851,"42,122",38
Clannad,TV,23,Finished Airing,"Oct 5, 2007 to Mar 28, 2008","Movic, TBS, Pony Canyon, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"Drama, Slice of Life, Romance, Supernatural, Comedy",School,24 min. per ep.,PG-13 - Teens 13 or older,"8.02 scored by 695,216 users",#534,#77,"1,278,402","26,225"
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Movie,1,Finished Airing,"Jul 8, 2017",Pony Canyon,"None found, add some",Studio Gokumi,Light novel,"Drama, Slice of Life, Fantasy",,48 min.,PG-13 - Teens 13 or older,"8.02 scored by 4,702 users",#533,#4909,"13,151",37
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,Finished Airing,"Apr 5, 2013 to Jun 28, 2013","TBS, Marvelous AQL, Atelier Musa, Delfi Sound, Geneon Universal Entertainment",Sentai Filmworks,Brain's Base,Light novel,"Drama, Slice of Life, Romance, Comedy","School, Love Polygon",24 min. per ep.,PG-13 - Teens 13 or older,"8.02 scored by 742,273 users",#532,#81,"1,233,789","25,940"
Slayers Next,TV,26,Finished Airing,"Apr 5, 1996 to Sep 27, 1996","SoftX, J.C.Staff, TV Tokyo","Funimation, Enoki Films, Central Park Media",E&G Films,Light novel,"Adventure, Fantasy, Comedy",Mythology,24 min. per ep.,PG-13 - Teens 13 or older,"8.02 scored by 35,269 users",#531,#2251,"64,656",780
Uchuu Kyoudai,TV,99,Finished Airing,"Apr 1, 2012 to Mar 22, 2014","YTV, Dentsu, Trinity Sound, Aniplex",Sentai Filmworks,A-1 Pictures,Manga,"Slice of Life, Sci-Fi, Comedy","Space, Workplace",24 min. per ep.,PG-13 - Teens 13 or older,"8.51 scored by 48,235 users",#112,#1086,"172,633","3,609"
Osomatsu-san,TV,25,Finished Airing,"Oct 6, 2015 to Mar 29, 2016","Dentsu, Rakuonsha, Fujio Production, Avex Pictures, Daiichi Shokai, TV Tokyo",VIZ Media,Studio Pierrot,Original,,"Parody, Gag Humor",23 min. per ep.,R - 17+ (violence & profanity),"7.97 scored by 61,893 users",#600,#1196,"158,019","3,425"
One Piece Film: Strong World Episode 0,OVA,1,Finished Airing,Apr 2010,"None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Action, Fantasy, Comedy",Super Power,18 min.,PG-13 - Teens 13 or older,"7.97 scored by 42,005 users",#599,#2059,"74,101",46
Noragami,TV,12,Finished Airing,"Jan 5, 2014 to Mar 23, 2014","Avex Entertainment, Dentsu, Ai Addiction, Shochiku, A-Sketch, Kodansha, Movic, Lawson HMV Entertainment",Funimation,Bones,Manga,"Adventure, Supernatural, Action, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"7.97 scored by 1,129,699 users",#598,#20,"1,896,599","30,529"
Naruto,TV,220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007","Shueisha, TV Tokyo, Aniplex",VIZ Media,Studio Pierrot,Manga,"Adventure, Action, Comedy","Super Power, Martial Arts",23 min. per ep.,PG-13 - Teens 13 or older,"7.97 scored by 1,693,561 users",#597,#8,"2,427,572","68,149"
Mahou Shoujo Lyrical Nanoha A's,TV,13,Finished Airing,"Oct 2, 2005 to Dec 25, 2005","Omnibus Japan, Starchild Records",Geneon Entertainment USA,Seven Arcs,Original,"Drama, Action, Comedy","Super Power, Mahou Shoujo",25 min. per ep.,PG-13 - Teens 13 or older,"7.97 scored by 31,803 users",#596,#2338,"60,676",955
Kanon (2006),TV,24,Finished Airing,"Oct 6, 2006 to Mar 16, 2007","Movic, TBS, Pony Canyon","Funimation, ADV Films",Kyoto Animation,Visual novel,"Drama, Slice of Life, Romance, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older,"7.97 scored by 129,405 users",#595,#763,"252,242","4,241"
IDOLiSH7 Vibrato,ONA,8,Finished Airing,"Feb 17, 2018 to Mar 7, 2019","None found, add some","None found, add some",TROYCA,Game,,"Idols (Male), Music",14 min. per ep.,PG-13 - Teens 13 or older,"7.97 scored by 4,540 users",#594,#5043,"12,410",84
Hokuto no Ken,TV,109,Finished Airing,"Oct 4, 1984 to Mar 5, 1987",Fuji TV,"Manga Entertainment, Discotek Media",Toei Animation,Manga,"Drama, Sci-Fi, Action",Martial Arts,25 min. per ep.,R - 17+ (violence & profanity),"7.97 scored by 39,855 users",#593,#1512,"115,518","2,021"
Haibane Renmei,TV,13,Finished Airing,"Oct 10, 2002 to Dec 19, 2002","Kadokawa Shoten, Studio Tulip, Fuji TV","Funimation, Geneon Entertainment USA",Radix,Other,"Drama, Slice of Life, Mystery, Fantasy",Psychological,24 min. per ep.,PG-13 - Teens 13 or older,"7.97 scored by 89,977 users",#592,#790,"244,137","6,517"
Azumanga Daioh,TV,26,Finished Airing,"Apr 9, 2002 to Oct 1, 2002","King Records, Imagica, TV Tokyo Music, Lantis, Genco, Cosmic Ray","Sentai Filmworks, ADV Films",J.C.Staff,4-koma manga,"Slice of Life, Comedy","School, CGDCT, Gag Humor",24 min. per ep.,PG-13 - Teens 13 or older,"7.97 scored by 135,618 users",#591,#642,"292,600","5,232"
Kingdom,TV,38,Finished Airing,"Jun 4, 2012 to Feb 25, 2013",NHK,Funimation,Studio Pierrot,Manga,,"Historical, Military",25 min. per ep.,R - 17+ (violence & profanity),"7.98 scored by 58,095 users",#590,#1109,"169,370","1,289"
Hyouge Mono,TV,39,Finished Airing,"Apr 7, 2011 to Jan 26, 2012","Sogo Vision, NHK","None found, add some",Bee Train,Manga,,"Samurai, Adult Cast, Visual Arts, Historical",25 min. per ep.,R - 17+ (violence & profanity),"7.98 scored by 4,067 users",#589,#3741,"24,969",269
Fate/Grand Carnival,OVA,4,Finished Airing,"Dec 31, 2020 to Oct 13, 2021","Good Smile Film, Notes, Lantis, Delightworks, Studio Hibari, Aniplex","None found, add some",Lerche,Game,"Supernatural, Fantasy, Comedy",,15 min. per ep.,PG-13 - Teens 13 or older,"7.98 scored by 11,748 users",#588,#2990,"38,826",227
Durarara!!x2 Ten,TV,12,Finished Airing,"Jul 4, 2015 to Sep 26, 2015",Aniplex,Aniplex of America,Shuka,Light novel,"Mystery, Supernatural, Action",,24 min. per ep.,R - 17+ (violence & profanity),"7.98 scored by 185,854 users",#587,#498,"359,132",734
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,Special,1,Finished Airing,"Jun 25, 2008","None found, add some",Nozomi Entertainment,Hal Film Maker,Unknown,"Slice of Life, Comedy",Iyashikei,24 min.,G - All Ages,"7.98 scored by 8,969 users",#586,#4151,"19,778",25
One Punch Man,TV,12,Finished Airing,"Oct 5, 2015 to Dec 21, 2015","Asatsu DK, JR East Marketing & Communications, Good Smile Company, TV Tokyo, Lantis, Bandai Visual, Banpresto, Shueisha",VIZ Media,Madhouse,Web manga,"Supernatural, Sci-Fi, Action, Comedy","Super Power, Parody",24 min. per ep.,R - 17+ (violence & profanity),"8.51 scored by 1,916,454 users",#111,#4,"2,733,187","56,732"
Hotaru no Haka,Movie,1,Finished Airing,"Apr 16, 1988","None found, add some","Sentai Filmworks, ADV Films, Central Park Media",Studio Ghibli,Novel,,Historical,1 hr. 28 min.,PG-13 - Teens 13 or older,"8.51 scored by 336,956 users",#109,#303,"562,066","6,517"
Final Fantasy VII: Advent Children Complete,OVA,1,Finished Airing,"Apr 16, 2009","None found, add some","None found, add some",Square Enix,Game,"Action, Fantasy",Super Power,2 hr. 6 min.,PG-13 - Teens 13 or older,"7.93 scored by 78,256 users",#650,#1439,"124,056",728
Eyeshield 21,TV,145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008","Shueisha, Nihon Ad Systems, TV Tokyo, TV Tokyo Music","Sentai Filmworks, VIZ Media",Gallop,Manga,"Sports, Action, Comedy",Team Sports,23 min. per ep.,PG-13 - Teens 13 or older,"7.93 scored by 82,040 users",#649,#1141,"166,430","1,881"
Darker than Black: Kuro no Keiyakusha Gaiden,Special,4,Finished Airing,"Jan 27, 2010 to Jul 21, 2010",Square Enix,Funimation,Bones,Original,"Mystery, Sci-Fi, Action",Super Power,24 min. per ep.,R - 17+ (violence & profanity),"7.93 scored by 134,166 users",#648,#802,"239,487",798
Bungou Stray Dogs Wan!,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021","None found, add some","None found, add some","Bones, Nomad",Manga,"Slice of Life, Supernatural, Comedy",,11 min. per ep.,PG-13 - Teens 13 or older,"7.93 scored by 32,306 users",#647,#1916,"84,222",816
Bishoujo Senshi Sailor Moon: Sailor Stars,TV,34,Finished Airing,"Mar 9, 1996 to Feb 8, 1997","TV Asahi, Toei Agency",VIZ Media,Toei Animation,Manga,"Drama, Adventure, Romance, Fantasy, Comedy",Mahou Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"7.93 scored by 50,963 users",#646,#1712,"100,098","1,084"
Kuuchuu Buranko,TV,11,Finished Airing,"Oct 15, 2009 to Dec 24, 2009","Dentsu, Asmik Ace, Bungeishunjuu, Fuji TV, Sony Music Entertainment","None found, add some",Toei Animation,Novel,"Drama, Comedy","Psychological, Medical",23 min. per ep.,R - 17+ (violence & profanity),"7.94 scored by 23,108 users",#645,#1925,"83,766","1,163"
Full Moon wo Sagashite,TV,52,Finished Airing,"Apr 6, 2002 to Mar 29, 2003",Nihon Ad Systems,VIZ Media,Studio Deen,Manga,"Drama, Romance, Supernatural, Comedy",Music,24 min. per ep.,PG-13 - Teens 13 or older,"7.94 scored by 44,831 users",#644,#1713,"99,921","1,680"
Full Metal Panic! The Second Raid,TV,13,Finished Airing,"Jul 14, 2005 to Oct 20, 2005","WOWOW, Kadokawa Shoten, Happinet Pictures, KlockWorx","Funimation, ADV Films, Kadokawa Pictures USA",Kyoto Animation,Light novel,,"Mecha, Military",24 min. per ep.,R - 17+ (violence & profanity),"7.94 scored by 140,865 users",#643,#792,"244,093","1,239"
Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV,21,Finished Airing,"Oct 5, 2019 to Mar 21, 2020","Notes, Delightworks, FILMONY, Aniplex",Aniplex of America,CloverWorks,Game,"Supernatural, Action, Fantasy",Isekai,23 min. per ep.,PG-13 - Teens 13 or older,"7.94 scored by 106,191 users",#642,#837,"227,455","2,137"
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,Movie,1,Finished Airing,"Jul 30, 2021",Aniplex,"None found, add some",CloverWorks,Game,"Supernatural, Action, Fantasy",Isekai,1 hr. 34 min.,PG-13 - Teens 13 or older,"7.94 scored by 13,432 users",#641,#2604,"50,076",324
Zetsuen no Tempest,TV,24,Finished Airing,"Oct 5, 2012 to Mar 29, 2013","Dentsu, Square Enix, Yahoo! Japan, Mainichi Broadcasting System, Aniplex",Aniplex of America,Bones,Manga,"Drama, Mystery, Action, Fantasy",Psychological,24 min. per ep.,PG-13 - Teens 13 or older,"7.94 scored by 244,802 users",#640,#315,"547,359","6,309"
Umibe no Étranger,Movie,1,Finished Airing,"Sep 11, 2020","Shochiku, Half H.P Studio",Funimation,Studio Hibari,Manga,"Slice of Life, Romance, Boys Love",,59 min.,PG-13 - Teens 13 or older,"7.94 scored by 57,462 users",#639,#1460,"120,999","2,093"
Tamako Love Story,Movie,1,Finished Airing,"Apr 26, 2014","TBS, Pony Canyon",Sentai Filmworks,Kyoto Animation,Original,"Slice of Life, Romance, Comedy",,1 hr. 23 min.,PG-13 - Teens 13 or older,"7.94 scored by 152,220 users",#638,#561,"326,951","1,965"
Princess Connect! Re:Dive Season 2,TV,12,Finished Airing,"Jan 11, 2022 to Mar 29, 2022","None found, add some","None found, add some",CygamesPictures,Game,"Adventure, Action, Fantasy, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.94 scored by 16,976 users",#637,#1941,"82,687",574
Nekomonogatari: Kuro,TV,4,Finished Airing,"Dec 31, 2012","Kodansha, Aniplex",Aniplex of America,Shaft,Light novel,"Ecchi, Romance, Supernatural, Comedy",,24 min. per ep.,R - 17+ (violence & profanity),"7.94 scored by 306,887 users",#636,#352,"496,915","1,126"
Mobile Suit Gundam Thunderbolt,ONA,4,Finished Airing,"Dec 25, 2015 to Apr 22, 2016","None found, add some","None found, add some",Sunrise,Manga,"Drama, Sci-Fi, Action","Space, Mecha, Military",18 min. per ep.,R - 17+ (violence & profanity),"7.94 scored by 23,508 users",#635,#2696,"46,776",332
Nana,TV,47,Finished Airing,"Apr 5, 2006 to Mar 28, 2007","Shueisha, Nippon Television Network, VAP","Sentai Filmworks, VIZ Media",Madhouse,Manga,"Drama, Slice of Life, Romance","Adult Cast, Love Polygon, Music",23 min. per ep.,R+ - Mild Nudity,"8.51 scored by 204,929 users",#110,#328,"532,951","22,269"
Banana Fish,TV,24,Finished Airing,"Jul 6, 2018 to Dec 21, 2018","Dentsu, Fuji TV, Movic, Shogakukan, Aniplex","None found, add some",MAPPA,Manga,"Adventure, Action, Drama",Delinquents,22 min. per ep.,R - 17+ (violence & profanity),"8.51 scored by 296,384 users",#108,#223,"687,696","25,452"
School Rumble,TV,26,Finished Airing,"Oct 5, 2004 to Mar 29, 2005","Sotsu, TV Tokyo, DAX Production, Marvelous, Media Factory, Studio Jack, Starchild Records",Funimation,Studio Comet,Manga,"Romance, Comedy","School, Love Polygon, Gag Humor",23 min. per ep.,PG-13 - Teens 13 or older,"7.90 scored by 140,832 users",#700,#613,"303,782","4,944"
Saiunkoku Monogatari,TV,39,Finished Airing,"Apr 8, 2006 to Feb 24, 2007","Sogo Vision, NHK","Funimation, Geneon Entertainment USA",Madhouse,Light novel,"Drama, Adventure, Romance, Fantasy, Comedy","Reverse Harem, Historical",25 min. per ep.,PG-13 - Teens 13 or older,"7.90 scored by 33,062 users",#699,#1860,"87,637","1,079"
Zoku Sayonara Zetsubou Sensei,TV,13,Finished Airing,"Jan 6, 2008 to Mar 30, 2008",Starchild Records,"None found, add some",Shaft,Manga,,"School, Parody, Gag Humor",25 min. per ep.,R - 17+ (violence & profanity),"7.91 scored by 56,004 users",#698,#1455,"122,599",480
Yuri!!! on Ice,TV,12,Finished Airing,"Oct 6, 2016 to Dec 22, 2016","Dentsu, Avex Pictures, CIC, Movic, TV Asahi, Cygames","Crunchyroll, Funimation",MAPPA,Original,"Sports, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.91 scored by 465,760 users",#697,#172,"768,453","18,961"
Yagate Kimi ni Naru,TV,13,Finished Airing,"Oct 5, 2018 to Dec 28, 2018","Sony Music Communications, Kadokawa, Kadokawa Media House, AT-X, Docomo Anime Store",Sentai Filmworks,TROYCA,Manga,"Drama, Romance, Girls Love",School,24 min. per ep.,PG-13 - Teens 13 or older,"7.91 scored by 113,625 users",#696,#695,"274,609","5,084"
Vanitas no Karte,TV,12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021","Contents Seed, Hakuhodo DY Music & Pictures, Square Enix, Aniplex",Funimation,Bones,Manga,,"Vampire, Historical",23 min. per ep.,R - 17+ (violence & profanity),"7.91 scored by 131,034 users",#695,#514,"350,675","4,764"
Ushio to Tora (TV) 2nd Season,TV,13,Finished Airing,"Apr 1, 2016 to Jun 24, 2016","Sotsu, Daiichi Shokai, Showgate, Tokuma Japan Communications",Sentai Filmworks,"Studio VOLN, MAPPA",Manga,"Adventure, Supernatural, Action, Comedy",Mythology,24 min. per ep.,PG-13 - Teens 13 or older,"7.91 scored by 60,341 users",#694,#1469,"119,908",290
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,OVA,6,Finished Airing,"Jun 22, 2007 to Jan 25, 2008",Production I.G,"None found, add some",M.S.C,Manga,"Sports, Action, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.91 scored by 19,203 users",#693,#3196,"34,339",36
Tennis no Ouji-sama: Zenkoku Taikai-hen,OVA,13,Finished Airing,"Mar 24, 2006 to Mar 23, 2007","Shueisha, Production I.G","None found, add some",M.S.C,Manga,"Sports, Action, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.91 scored by 23,645 users",#692,#2840,"42,445",62
Shirokuma Cafe,TV,50,Finished Airing,"Apr 5, 2012 to Mar 28, 2013","Avex Entertainment, TV Tokyo","None found, add some",Studio Pierrot,Manga,"Slice of Life, Comedy","Gag Humor, Workplace, Anthropomorphic, Iyashikei",24 min. per ep.,G - All Ages,"7.91 scored by 21,469 users",#691,#1905,"84,939",854
Sakigake!! Cromartie Koukou,TV,26,Finished Airing,"Oct 3, 2003 to Mar 26, 2004",TV Tokyo Music,"Sentai Filmworks, ADV Films, Discotek Media",Production I.G,Manga,,"Delinquents, School, Gag Humor",12 min. per ep.,PG-13 - Teens 13 or older,"7.91 scored by 50,045 users",#690,#1431,"124,518","1,496"
Ookiku Furikabutte,TV,25,Finished Airing,"Apr 13, 2007 to Sep 28, 2007","TBS, Rakuonsha, Kodansha, Mainichi Broadcasting System, Movic, Aniplex",Funimation,A-1 Pictures,Manga,"Sports, Comedy",Team Sports,25 min. per ep.,PG-13 - Teens 13 or older,"7.91 scored by 38,151 users",#689,#1793,"92,738","1,660"
Lupin III (2015),TV,24,Finished Airing,"Oct 2, 2015 to Mar 18, 2016","TMS Music, TMS Entertainment",Discotek Media,Telecom Animation Film,Manga,"Adventure, Mystery, Action, Comedy",Adult Cast,25 min. per ep.,PG-13 - Teens 13 or older,"7.91 scored by 19,772 users",#688,#2324,"61,313",393
Kono Oto Tomare!,TV,13,Finished Airing,"Apr 7, 2019 to Jun 30, 2019","King Records, WOWOW, Pony Canyon Enterprise, KlockWorx, Movic, Memory-Tech, Shueisha",Funimation,Platinum Vision,Manga,"Drama, Romance","Performing Arts, School, Music",23 min. per ep.,PG-13 - Teens 13 or older,"7.91 scored by 92,041 users",#687,#825,"230,548","1,820"
Jormungand: Perfect Order,TV,12,Finished Airing,"Oct 10, 2012 to Dec 26, 2012","Shogakukan-Shueisha Productions, Geneon Universal Entertainment",Funimation,White Fox,Manga,"Adventure, Action",Organized Crime,24 min. per ep.,R+ - Mild Nudity,"7.91 scored by 94,386 users",#686,#1103,"170,265",663
Ie Naki Ko Remy,TV,23,Finished Airing,"Sep 1, 1996 to Mar 23, 1997",Fuji TV,"None found, add some",Nippon Animation,Novel,"Adventure, Slice of Life, Drama",Historical,23 min. per ep.,G - All Ages,"7.91 scored by 7,894 users",#685,#4332,"18,115",97
Ansatsu Kyoushitsu 2nd Season,TV,25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016","Dentsu, Kansai Telecasting, Avex Pictures, DAX Production, Fuji TV, Studio Hibari, Shueisha",Funimation,Lerche,Manga,"Action, Comedy",School,23 min. per ep.,PG-13 - Teens 13 or older,"8.51 scored by 749,991 users",#107,#84,"1,201,524","16,218"
Les Misérables: Shoujo Cosette,TV,52,Finished Airing,"Jan 7, 2007 to Dec 30, 2007","None found, add some","None found, add some",Nippon Animation,Novel,"Drama, Slice of Life",Historical,24 min. per ep.,G - All Ages,"7.87 scored by 8,176 users",#750,#3715,"25,355",227
Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,Special,1,Finished Airing,"Mar 14, 2015",Imagica,"None found, add some",Kyoto Animation,Light novel,,Music,4 min.,PG-13 - Teens 13 or older,"7.87 scored by 23,588 users",#749,#2482,"54,879",80
Kokoro ga Sakebitagatterunda.,Movie,1,Finished Airing,"Sep 19, 2015","Dentsu, Fuji TV, Aniplex, Shogakukan, Lawson HMV Entertainment",Aniplex of America,A-1 Pictures,Original,"Drama, Romance","Performing Arts, School",1 hr. 59 min.,PG-13 - Teens 13 or older,"7.87 scored by 139,663 users",#748,#655,"288,487","1,782"
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon Desu,Special,1,Finished Airing,"Jan 19, 2022","None found, add some","None found, add some",Kyoto Animation,Manga,"Slice of Life, Fantasy, Comedy",,23 min.,PG-13 - Teens 13 or older,"7.87 scored by 10,664 users",#747,#2720,"45,811",235
High☆Speed! Movie: Free! Starting Days,Movie,1,Finished Airing,"Dec 5, 2015","Shochiku, Asahi Broadcasting, I Will",Funimation,Kyoto Animation,Light novel,"Drama, Slice of Life, Sports, Comedy",School,1 hr. 50 min.,PG-13 - Teens 13 or older,"7.87 scored by 37,691 users",#746,#1933,"83,020",245
Durarara!! Specials,Special,2,Finished Airing,"Aug 25, 2010 to Feb 23, 2011",Aniplex,Aniplex of America,Brain's Base,Light novel,"Supernatural, Action, Comedy",,23 min. per ep.,R - 17+ (violence & profanity),"7.87 scored by 89,805 users",#745,#1185,"159,594",154
Douluo Dalu: Xiaowu Fuhuo,ONA,13,Finished Airing,"Nov 20, 2021 to Feb 12, 2022","None found, add some","None found, add some",Sparkly Key Animation Studio,Novel,"Adventure, Romance, Action, Fantasy","Martial Arts, Historical",20 min. per ep.,PG-13 - Teens 13 or older,"7.87 scored by 1,141 users",#744,#9007,"2,617",21
Blue Period,TV,12,Finished Airing,"Oct 2, 2021 to Dec 18, 2021","DMM pictures, Kodansha, Bit grooove promotion, Mainichi Broadcasting System, DMM Music","None found, add some",Seven Arcs,Manga,"Drama, Slice of Life","School, Visual Arts",23 min. per ep.,PG-13 - Teens 13 or older,"7.87 scored by 122,273 users",#743,#582,"316,313","4,040"
Bishoujo Senshi Sailor Moon S,TV,38,Finished Airing,"Mar 19, 1994 to Feb 25, 1995","TV Asahi, Toei Agency","VIZ Media, Geneon Entertainment USA",Toei Animation,Manga,"Drama, Romance",Mahou Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"7.87 scored by 70,153 users",#742,#1391,"129,961","1,275"
Beelzebub,TV,60,Finished Airing,"Jan 9, 2011 to Mar 25, 2012","Shueisha, Yomiuri Telecasting, Dentsu, Studio Pierrot",Discotek Media,Pierrot Plus,Manga,"Supernatural, Action, Comedy","Delinquents, Mythology, Childcare, School",24 min. per ep.,PG-13 - Teens 13 or older,"7.87 scored by 256,136 users",#741,#326,"536,502","4,948"
Beastars 2nd Season,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021","Toho, Akita Shoten, Fuji TV, Hakuhodo DY Media Partners, Movic, Q-Tec, Toho Music, BS Fuji, Bandai Spirits, Bandai","None found, add some",Orange,Manga,"Drama, Slice of Life","School, Psychological, Anthropomorphic",22 min. per ep.,R - 17+ (violence & profanity),"7.87 scored by 167,903 users",#740,#511,"352,081","1,995"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Movie,1,Finished Airing,"Aug 31, 2013",Aniplex,Aniplex of America,A-1 Pictures,Original,"Drama, Slice of Life, Supernatural",,1 hr. 39 min.,PG-13 - Teens 13 or older,"7.87 scored by 127,758 users",#739,#719,"265,353",578
Mahou Shoujo Lyrical Nanoha: The Movie 1st,Movie,1,Finished Airing,"Jan 23, 2010",Aniplex,"None found, add some",Seven Arcs,Original,"Drama, Sci-Fi, Action, Comedy",Mahou Shoujo,2 hr. 10 min.,R+ - Mild Nudity,"7.88 scored by 14,397 users",#738,#3480,"29,171",187
Inochi no Tabekata,Music,1,Finished Airing,"May 22, 2020","None found, add some","None found, add some","None found, add some",Music,"Horror, Supernatural",Music,3 min.,R - 17+ (violence & profanity),"7.88 scored by 2,201 users",#737,#8373,"3,327",21
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,26,Finished Airing,"Jan 1, 2004 to Jan 8, 2005","Dentsu, Kodansha, Victor Entertainment, Bandai Visual, Nippon Television Network, Tokuma Shoten","Bandai Entertainment, Manga Entertainment",Production I.G,Manga,"Mystery, Sci-Fi, Action","Adult Cast, Mecha, Detective, Military",25 min. per ep.,R - 17+ (violence & profanity),"8.52 scored by 97,256 users",#106,#915,"208,664","2,913"
Working'!!,TV,13,Finished Airing,"Oct 1, 2011 to Dec 24, 2011","Yomiuri Telecasting, Rakuonsha, Aniplex","NIS America, Inc.",A-1 Pictures,4-koma manga,"Slice of Life, Romance, Comedy",Workplace,24 min. per ep.,PG-13 - Teens 13 or older,"7.84 scored by 141,798 users",#800,#791,"244,090",434
Urusei Yatsura 2: Beautiful Dreamer,Movie,1,Finished Airing,"Feb 11, 1984","Studio Kyuuma, Kitty Films","Central Park Media, Discotek Media",Studio Pierrot,Manga,"Drama, Sci-Fi, Adventure, Romance, Action, Comedy",,1 hr. 37 min.,PG-13 - Teens 13 or older,"7.84 scored by 6,956 users",#799,#4612,"15,415",205
Tasogare Otome x Amnesia,TV,12,Finished Airing,"Apr 9, 2012 to Jun 25, 2012","Media Factory, Square Enix",Sentai Filmworks,SILVER LINK.,Manga,"Horror, Mystery, Romance, Supernatural",School,23 min. per ep.,R - 17+ (violence & profanity),"7.84 scored by 167,909 users",#798,#496,"360,960","4,230"
Suzumiya Haruhi no Yuuutsu,TV,14,Finished Airing,"Apr 3, 2006 to Jul 3, 2006","Kadokawa Pictures Japan, Kadokawa Shoten, KlockWorx, Lantis","Bandai Entertainment, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,"Slice of Life, Mystery, Sci-Fi, Comedy","School, Parody",23 min. per ep.,PG-13 - Teens 13 or older,"7.84 scored by 442,546 users",#797,#151,"834,837","14,389"
Soul Eater,TV,51,Finished Airing,"Apr 7, 2008 to Mar 30, 2009","Dentsu, Media Factory, TV Tokyo, Aniplex",Funimation,Bones,Manga,"Supernatural, Action, Fantasy, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.84 scored by 763,763 users",#796,#54,"1,440,673","23,600"
