Name,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Code Geass: Hangyaku no Lelouch,TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,Fridays at 01:25 (JST),"Bandai Namco Entertainment, Bandai Visual, Bandai, Mainichi Broadcasting System, Sony Music Entertainment, Hakuhodo DY Media Partners","Bandai Entertainment, Funimation",Sunrise,Original,"Sci-Fi, Action, Drama","Mecha, Super Power, School, Military",,24 min. per ep.,R - 17+ (violence & profanity),"8.70, 1194903, (scored by, indicates a, 1, 1,194,903 users), weighted score, .","2, #48, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#17,"1,945,502","97,315"
86 Part 2,TV,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022",Fall 2021,Sundays at 00:00 (JST),"Aniplex, Bandai Spirits, Kadokawa","None found, add some",A-1 Pictures,Light novel,"Sci-Fi, Action, Drama","Mecha, Military",,23 min. per ep.,R - 17+ (violence & profanity),"8.70, 87867, 87,867 users), (scored by, indicates a, 1, weighted score, .","2, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime, #47",#726,"262,183","6,083"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,,Aniplex,"Aniplex of America, ADV Films",Studio Deen,Manga,"Romance, Action, Drama","Samurai, Historical, Martial Arts",Shounen,30 min. per ep.,R - 17+ (violence & profanity),"8.71, (scored by, indicates a, 1, 125,685 users), weighted score, 125685, .","2, #46, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#757,"253,664","5,833"
Mushishi Zoku Shou,TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",Spring 2014,Saturdays at 00:00 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,"Mystery, Slice of Life, Fantasy, Adventure, Supernatural",Historical,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,"8.71, 102346, (scored by, indicates a, 1, 102,346 users), weighted score, .","2, based on the, #45, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#718,"264,629","1,400"
Mo Dao Zu Shi: Wanjie Pian,ONA,12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",,,Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Web novel,"Action, Drama, Supernatural","Demons, Historical",,24 min. per ep.,R - 17+ (violence & profanity),"8.71, (scored by, 12,127 users), indicates a, 1, 12127, weighted score, .","2, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime, #44",#2540,"52,223","1,170"
Ashita no Joe 2,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,Unknown,Annapuru,"None found, add some",Tokyo Movie Shinsha,Manga,"Slice of Life, Action, Drama, Sports",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.71, 15,017 users), (scored by, indicates a, 1, weighted score, 15017, .","2, based on the, #43, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#2930,"40,207","2,006"
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,Finished Airing,"Aug 15, 2020",,,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,"Fantasy, Action, Supernatural",,,2 hr. 2 min.,R - 17+ (violence & profanity),"(scored by, 126527, 126,527 users), 8.72, indicates a, 1, weighted score, .","2, #42, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#737,"260,208","6,440"
Vinland Saga,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),"Kodansha, Production I.G, Dentsu, Twin Engine",Sentai Filmworks,Wit Studio,Manga,"Adventure, Action, Drama",Historical,Seinen,24 min. per ep.,R - 17+ (violence & profanity),"543,258 users), 543258, (scored by, indicates a, 1, 8.73, weighted score, .","2, based on the, #41, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#105,"1,049,814","30,611"
Hajime no Ippo,TV,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,Tuesdays at 00:50 (JST),VAP,"Geneon Entertainment USA, Discotek Media",Madhouse,Manga,"Sports, Comedy, Drama",,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"218247, (scored by, 8.74, 218,247 users), indicates a, 1, weighted score, .","2, #40, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#372,"467,712","17,078"
Mushishi Zoku Shou 2nd Season,TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,Sundays at 00:30 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,"Mystery, Slice of Life, Fantasy, Adventure, Supernatural",Historical,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"(scored by, 8.74, weighted score, indicates a, 1, 89,706 users), ., 89706","2, #39, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#818,"232,230","1,271"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,Saturdays at 02:25 (JST),"Mainichi Broadcasting System, DAX Production, King Records, Kodansha","None found, add some",Studio Deen,Manga,,Historical,Josei,24 min. per ep.,PG-13 - Teens 13 or older,"(scored by, 56039, indicates a, 1, 8.75, ., weighted score, 56,039 users)","2, #38, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#1137,"166,311","2,874"
Odd Taxi,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 02:00 (JST),"Pony Canyon, Pony Canyon Enterprise","None found, add some","P.I.C.S., OLM",Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,"(scored by, indicates a, 1, 8.76, 127220, weighted score, 127,220 users), .","2, #37, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#685,"279,294","5,769"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021",Fall 2021,Mondays at 00:00 (JST),"None found, add some",Funimation,Studio Bind,Light novel,"Fantasy, Drama, Ecchi",,,23 min. per ep.,R - 17+ (violence & profanity),"284,665 users), (scored by, 284665, indicates a, 1, 8.76, weighted score, .","2, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., based on the, #36, top anime",#327,"534,574","12,896"
Cowboy Bebop,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Saturdays at 01:00 (JST),Bandai Visual,"Bandai Entertainment, Funimation",Sunrise,Original,"Comedy, Drama, Action, Adventure, Sci-Fi",Space,,24 min. per ep.,R - 17+ (violence & profanity),"(scored by, indicates a, 1, 8.76, weighted score, 767603, 767,603 users), .","2, based on the, #35, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#42,"1,574,198","69,772"
Kimi no Na wa.,Movie,1,Finished Airing,"Aug 26, 2016",,,"Amuse, JR East Marketing & Communications, voque ting, Sound Team Don Juan, Kadokawa, Toho","NYAV Post, Funimation",CoMix Wave Films,Original,"Romance, Drama, Supernatural",School,,1 hr. 46 min.,PG-13 - Teens 13 or older,"(scored by, 1,590,040 users), 1590040, indicates a, 1, weighted score, ., 8.87","2, #23, based on the, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#10,"2,294,614","79,559"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",Summer 2018,Mondays at 01:35 (JST),"TV Tokyo, Dentsu, Aniplex, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Sci-Fi, Action, Comedy","Samurai, Parody, Historical",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"(scored by, 73,716 users), indicates a, 1, 73716, 8.88, ., weighted score","2, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., based on the, #22, top anime",#1193,"158,147",941
Owarimonogatari 2nd Season,TV,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",Summer 2017,Not scheduled once per week,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,"Supernatural, Comedy, Mystery",Vampire,,22 min. per ep.,R - 17+ (violence & profanity),"(scored by, 8.90, 160848, 160,848 users), indicates a, 1, weighted score, .","2, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., based on the, #21, top anime",#535,"340,461","7,825"
Kimetsu no Yaiba: Yuukaku-hen,TV,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,Sundays at 23:15 (JST),"None found, add some","None found, add some",ufotable,Manga,"Action, Supernatural","Demons, Historical",Shounen,26 min. per ep.,R - 17+ (violence & profanity),"(scored by, 8.90, indicates a, 375,359 users), 1, 375359, weighted score, .","2, based on the, #20, page. Please note that 'Not yet aired' and 'R18+' titles are excluded., top anime",#178,"754,046","16,615"
