Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Test,Population,Continent
Lebanon,"1,094,672",,"10,341 ",,"1,072,082",,"12,249",186,"4,795,578","6,771,357",Asia
Lithuania,"1,042,116",+627,"8,975 ",+7,"991,623","+2,026","41,518",45,"8,141,177","2,655,090",Europe
Tunisia,"1,037,358",,"28,425 ",,N/A,N/A,N/A,29,"4,537,900","12,037,455",Africa
Slovenia,"988,066",+524,"6,538 ",+3,"951,842",+950,"29,686",39,"2,627,697","2,079,444",Europe
Nepal,"978,593",+22,"11,951 ",,"966,074",+46,568,,"5,580,272","30,063,903",Asia
Belarus,"970,443",+302,"6,877 ",+3,"928,536",,"35,030",,"12,970,379","9,443,822",Europe
Finland,"920,692",,"3,334 ",,"46,000",,"871,358",33,"10,512,930","5,555,953",Europe
Bolivia,"903,306",,"21,899 ",,"848,265",,"33,142",220,"2,686,794","11,954,760",South America
UAE,"893,970",+208,"2,302 ",,"874,607",+567,"17,061",,"150,800,649","10,101,852",Asia
Uruguay,"893,909",,"7,182 ",,"883,171",,"3,556",29,"6,068,869","3,495,035",South America
Ecuador,"863,398",,"35,461 ",,N/A,N/A,N/A,759,"2,470,170","18,117,060",South America
Costa Rica,"841,343",,"8,327 ",,"820,853",,"12,163",63,"4,136,613","5,176,436",North America
Guatemala,"835,338",,"17,377 ",,"812,888",,"5,073",5,"4,322,582","18,501,840",North America
Latvia,"808,979",+180,"5,684 ",+5,"785,988",+928,"17,307",27,"7,103,645","1,849,302",Europe
Azerbaijan,"792,253",+16,"9,703 ",,"782,351",+19,199,,"6,746,085","10,300,902",Asia
New Zealand,"774,928","+7,633",469 ,+12,"702,993","+10,242","71,466",,"6,954,369","5,002,100 ",Australia/Oceania
Panama,"766,931",,"8,176 ",,"756,736",,"2,019",9,"5,757,004","4,434,939",North America
Saudi Arabia,"751,943",+130,"9,058 ",,"737,482",+283,"5,403",75,"41,680,662","35,773,122",Asia
Sri Lanka,"662,592",,"16,489 ",,"642,500",,"3,603",,"6,368,159","21,572,141",Asia
Paraguay,"648,446",,"18,734 ",,"624,673",,"5,039",3,"2,615,453","7,287,567",South America
Kuwait,"630,252",,"2,555 ",,"626,264",,"1,433",6,"7,948,416","4,382,317",Asia
Myanmar,"612,341",,"19,434 ",,"590,889",,"2,018",,"7,782,033","55,055,305",Asia
Palestine,"581,678",,"5,352 ",,"575,613",,713,17,"3,078,533","5,311,157",Asia
Dominican Republic,"578,531",,"4,375 ",,"574,035",,121,20,"3,247,359","11,040,412",North America
Estonia,"564,309",+278,"2,495 ",+1,"496,050",+529,"65,764",5,"3,277,017","1,328,114",Europe
Bahrain,"560,023",,"1,473 ",,"554,013",,"4,537",4,"9,649,168","1,806,133",Asia
Venezuela,"521,471",,"5,695 ",,"514,082",,"1,694",230,"3,359,014","28,293,361",South America
Moldova,"515,445",,"11,462 ",,"501,862",,"2,121",46,"3,184,739","4,017,372",Europe
Egypt,"509,177",,"24,473 ",,"438,458",,"46,246",122,"3,693,367","105,748,814",Africa
Libya,"501,834",,"6,429 ",,"490,837",,"4,568",101,"2,475,203","7,036,619",Africa
Ethiopia,"470,050",,"7,509 ",,"453,570",,"8,971",17,"4,704,274","119,999,775",Africa
Mongolia,"469,151",+15,"2,177 ",,"313,256",,"153,718",192,"4,030,048","3,371,692",Asia
Cyprus,"457,585",,982 ,,"124,370",,"332,233",60,"9,477,138","1,222,913",Asia
Armenia,"422,678",+1,"8,621 ",+1,"410,341",+17,"3,716",,"3,000,333","2,973,045",Asia
Honduras,"421,268",,"10,888 ",,"131,100",,"279,280",105,"1,263,329","10,183,314",North America
Oman,"388,709",+23,"4,254 ",,"383,749",+68,706,4,"25,000,000","5,336,307",Asia
Bosnia and Herzegovina,"376,198",+117,"15,740 ",+8,"192,218",,"168,240",,"1,744,951","3,244,708",Europe
Qatar,"362,937",+154,677 ,,"361,013",+138,"1,247",1,"3,417,795","2,807,805 ",Asia
Réunion,"347,941",,720 ,,"331,736",,"15,485",10,"1,603,660","906,619",Africa
Kenya,"323,541",,"5,648 ",,"317,775",,118,1,"3,549,966","55,866,269",Africa
Zambia,"317,483",,"3,967 ",,"312,721",,795,,"3,373,977","19,294,367",Africa
North Macedonia,"307,817",+23,"9,252 ",+1,"297,354",+190,"1,211",,"1,984,493","2,083,223",Europe
Botswana,"305,526",,"2,686 ",,"302,476",,364,1,"2,026,898","2,435,618",Africa
Albania,"274,219",,"3,493 ",,"270,341",,385,2,"1,786,831","2,872,236",Europe
Algeria,"265,724",,"6,874 ",,"178,321",,"80,529",6,"230,861","45,251,863",Africa
Nigeria,"255,606",,"3,142 ",,"249,718",,"2,746",11,"4,906,535","215,175,364",Africa
Zimbabwe,"246,973",,"5,457 ",,"240,339",,"1,177",12,"2,214,122","15,245,741",Africa
Uzbekistan,"238,088",+17,"1,637 ",,"236,022",+41,429,23,"1,377,915","34,327,437",Asia
Montenegro,"233,721",,"2,706 ",,"230,555",,460,6,"2,432,283","628,207",Europe
Mozambique,"225,293",,"2,200 ",,"223,047",,46,13,"1,302,362","32,803,865",Africa
Luxembourg,"223,666",,"1,045 ",,"204,847",,"17,774",4,"4,184,582","643,996",Europe
Kyrgyzstan,"200,970",,"2,991 ",,"196,303",+10,"1,676",131,"1,907,195","6,714,629",Asia
Laos,"196,127",+662,700 ,+2,"7,660",,"187,767",,"1,032,460","7,462,358",Asia
